Voltage	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent	avgAbs_J	avgJ	avgCurrent
	YSR-1-25A			YSR-1-25B			YSR-1-25C			YSR-1-25D			YSR-1-25E			YSR-1-25F			YSR-1-25G		
-0.45	6.458	-6.458	-2.51E-05	1.42E-07	-2.81E-08	-1.09E-13	27.646	-16.588	-6.43E-05	4.5786	-2.7471	-1.06E-05	8.3659	-5.0195	-1.95E-05	5.35E-07	-3.21E-07	-1.25E-12	36.143	-21.686	-8.41E-05
-0.4	5.814	-5.814	-2.26E-05	8.97E-08	5.38E-08	2.09E-13	24.883	-14.93	-5.79E-05	4.1213	-2.4728	-9.60E-06	7.5298	-4.5179	-1.75E-05	2.97E-07	-1.78E-07	-6.91E-13	32.531	-19.519	-7.57E-05
-0.35	5.17	-5.17	-2.01E-05	7.96E-08	4.01E-08	1.55E-13	22.12	-13.272	-5.15E-05	3.6641	-2.1985	-8.52E-06	6.6938	-4.0163	-1.56E-05	2.20E-07	-1.32E-07	-5.12E-13	28.919	-17.351	-6.73E-05
-0.3	4.528	-4.528	-1.75E-05	5.97E-08	3.44E-08	1.33E-13	19.353	-11.612	-4.50E-05	3.2057	-1.9234	-7.46E-06	5.8559	-3.5136	-1.36E-05	1.71E-07	-9.99E-08	-3.88E-13	25.298	-15.179	-5.89E-05
-0.25	3.88	-3.88	-1.50E-05	1.31E-07	7.22E-08	2.79E-13	16.585	-9.9512	-3.86E-05	2.7475	-1.6485	-6.39E-06	5.0183	-3.011	-1.17E-05	1.62E-07	-9.69E-08	-3.76E-13	21.675	-13.005	-5.04E-05
-0.2	3.236	-3.236	-1.26E-05	1.29E-07	7.73E-08	3.00E-13	13.818	-8.2909	-3.22E-05	2.2894	-1.3737	-5.33E-06	4.1811	-2.5086	-9.72E-06	1.91E-07	-1.95E-08	-7.51E-14	18.056	-10.834	-4.20E-05
-0.15	2.588	-2.588	-1.00E-05	1.35E-07	8.12E-08	3.14E-13	11.056	-6.6339	-2.57E-05	1.8322	-1.0993	-4.26E-06	3.3454	-2.0072	-7.78E-06	1.45E-07	-3.79E-08	-1.47E-13	14.446	-8.6675	-3.36E-05
-0.1	1.942	-1.942	-7.54E-06	1.12E-07	6.35E-08	2.46E-13	8.2934	-4.976	-1.93E-05	1.3747	-0.82482	-3.20E-06	2.5094	-1.5056	-5.84E-06	1.29E-07	-2.64E-08	-1.03E-13	10.837	-6.5024	-2.52E-05
-0.05	1.296	-1.296	-5.03E-06	1.29E-07	7.45E-08	2.90E-13	5.5272	-3.3163	-1.29E-05	0.91647	-0.54988	-2.13E-06	1.6726	-1.0035	-3.89E-06	1.46E-07	-2.14E-09	-8.40E-15	7.2263	-4.3358	-1.68E-05
0	0.6472	-0.6472	-2.51E-06	1.54E-07	9.22E-08	3.58E-13	2.7605	-1.6563	-6.42E-06	0.45781	-0.27469	-1.06E-06	0.83536	-0.50122	-1.94E-06	1.33E-07	8.88E-09	3.46E-14	3.6095	-2.1657	-8.41E-06
0	2.02E-05	2.02E-05	7.83E-11	1.49E-07	8.92E-08	3.46E-13	0.00030398	0.00018239	7.07E-10	4.19E-05	2.51E-05	9.76E-11	3.90E-05	2.34E-05	9.07E-11	1.58E-07	4.37E-08	1.70E-13	0.00035727	0.00021436	8.33E-10
0.05	5.91E-06	5.91E-06	2.29E-11	8.92E-08	5.30E-08	2.05E-13	0.00032178	0.00019307	7.49E-10	4.41E-05	2.60E-05	1.01E-10	1.59E-05	9.49E-06	3.69E-11	1.51E-07	-9.04E-08	-3.51E-13	0.00027492	0.00016495	6.39E-10
0.1	0.6504	0.6504	2.52E-06	1.85E-07	3.76E-08	1.46E-13	2.774	1.6644	6.46E-06	0.46016	0.2761	1.07E-06	0.83915	0.50349	1.95E-06	1.36E-07	3.94E-08	1.53E-13	3.6128	2.1677	8.40E-06
0.15	1.3	1.3	5.04E-06	3.77E-07	-1.00E-07	-3.88E-13	5.5412	3.3247	1.29E-05	0.91929	0.55157	2.14E-06	1.6761	1.0057	3.90E-06	1.62E-07	6.55E-08	2.53E-13	7.2595	4.3557	1.69E-05
0.2	1.948	1.948	7.56E-06	2.97E-07	1.78E-07	6.89E-13	8.3069	4.9841	1.93E-05	1.3784	0.82706	3.21E-06	2.5127	1.5076	5.85E-06	1.50E-07	7.56E-08	2.94E-13	10.887	6.5323	2.53E-05
0.25	2.596	2.596	1.01E-05	1.97E-07	1.18E-07	4.57E-13	11.069	6.6416	2.58E-05	1.8375	1.1025	4.28E-06	3.3483	2.009	7.79E-06	1.82E-07	1.09E-07	4.23E-13	14.511	8.7067	3.38E-05
0.3	3.242	3.242	1.26E-05	7.20E-07	4.32E-07	1.67E-12	13.83	8.2982	3.22E-05	2.2965	1.3779	5.34E-06	4.1831	2.5099	9.72E-06	1.74E-07	1.02E-07	3.94E-13	18.153	10.892	4.22E-05
0.35	3.892	3.892	1.51E-05	2.50E-07	-1.01E-08	-3.88E-14	16.597	9.9581	3.86E-05	2.7566	1.6539	6.42E-06	5.02	3.012	1.17E-05	2.30E-07	1.38E-07	5.34E-13	21.964	13.179	5.11E-05
0.4	4.538	4.538	1.76E-05	3.23E-07	-3.61E-08	-1.40E-13	19.364	11.618	4.51E-05	3.2172	1.9303	7.49E-06	5.857	3.5142	1.36E-05	2.18E-07	1.31E-07	5.07E-13	25.685	15.411	5.98E-05
0.45	5.186	5.186	2.01E-05	3.27E-07	1.96E-07	7.60E-13	22.131	13.279	5.15E-05	3.6778	2.2067	8.56E-06	6.694	4.0164	1.56E-05	3.35E-07	2.01E-07	7.81E-13	29.356	17.614	6.83E-05
0.5	5.832	5.832	2.26E-05	4.61E-07	2.76E-07	1.07E-12	24.895	14.937	5.79E-05	4.1384	2.483	9.64E-06	7.5298	4.5179	1.75E-05	2.90E-07	1.74E-07	6.75E-13	33.024	19.814	7.68E-05
0.5	6.478	6.478	2.51E-05	2.35E-07	1.41E-07	5.48E-13	27.657	16.594	6.44E-05	4.5992	2.7595	1.07E-05	8.3651	5.019	1.95E-05	2.53E-07	1.52E-07	5.89E-13	36.698	22.019	8.54E-05
0.45	6.478	6.478	2.51E-05	8.72E-08	3.25E-08	1.26E-13	27.658	16.595	6.44E-05	4.5993	2.7596	1.07E-05	8.3649	5.0189	1.95E-05	1.13E-07	6.80E-08	2.64E-13	36.753	22.052	8.55E-05
0.4	5.828	5.828	2.26E-05	2.22E-07	-6.66E-08	-2.58E-13	24.895	14.937	5.79E-05	4.1384	2.483	9.64E-06	7.5294	4.5176	1.75E-05	1.26E-07	-7.59E-08	-2.94E-13	33.157	19.894	7.72E-05
0.35	5.184	5.184	2.01E-05	2.90E-07	-1.32E-07	-5.13E-13	22.132	13.279	5.15E-05	3.6778	2.2067	8.56E-06	6.6936	4.0161	1.56E-05	1.63E-07	-9.80E-08	-3.80E-13	29.491	17.694	6.86E-05
0.3	4.538	4.538	1.76E-05	3.58E-07	-2.15E-07	-8.32E-13	19.364	11.618	4.51E-05	3.2174	1.9304	7.49E-06	5.8563	3.5138	1.36E-05	1.97E-07	-1.18E-07	-4.59E-13	25.805	15.483	6.01E-05
0.25	3.888	3.888	1.51E-05	2.35E-07	-1.14E-07	-4.43E-13	16.597	9.9584	3.86E-05	2.7569	1.6541	6.42E-06	5.0196	3.0117	1.17E-05	2.61E-07	-1.57E-07	-6.07E-13	22.119	13.271	5.15E-05
0.2	3.242	3.242	1.26E-05	2.73E-07	1.24E-08	4.80E-14	13.831	8.2985	3.22E-05	2.2967	1.378	5.34E-06	4.1828	2.5097	9.72E-06	3.82E-07	-2.29E-07	-8.87E-13	18.435	11.061	4.29E-05
