3.26E-10,8.33E-10,3.20E-10,4.84E-10,2.86E-10,3.41E-10,7.46E-10,5.03E-10,5.60E-10,3.28E-10,4.73E-10,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00014026,8.42E-05,3.26E-10
-8.41E-05,-0.0000859,-0.0000865,-0.00010869,-0.00010377,-0.00010877,-0.00010851,-0.00010802,-0.0000866,-0.0000965,-9.77E-05,,3.75E+01,4.20E+01,-22.4886,-2.52E+01,-8.72E-05,-9.79E-05,,,,,,,,,36.143,-21.686,-8.41E-05
-7.57E-05,-0.0000774,-0.0000869,-0.0000978,-0.0000922,-0.0000979,-0.0000977,-0.0000969,-0.0000779,-0.0000852,-8.86E-05,,4.20E+01,,-25.2271,,-9.79E-05,,,,,,,,,,32.531,-19.519,-7.57E-05
-6.73E-05,-0.0000688,-0.000069,-0.000087,-0.0000809,-0.0000871,-0.0000869,-0.0000859,-0.0000693,-0.0000761,-7.78E-05,,4.20E+01,,-25.2007,,-9.77E-05,,,,,,,,,,28.919,-17.351,-6.73E-05
-5.89E-05,-0.0000601,-0.0000603,-0.0000761,-0.0000716,-0.0000762,-0.000076,-0.0000749,-0.0000606,-0.0000658,-6.81E-05,,3.81E+01,,-22.8325,,-8.86E-05,,,,,,,,,,25.298,-15.179,-5.89E-05
-5.04E-05,-0.0000515,-0.0000517,-0.0000652,-0.0000619,-0.0000653,-0.0000651,-0.0000639,-0.000052,-0.0000552,-5.82E-05,,3.34E+01,,-20.0604,,-7.78E-05,,,,,,,,,,21.675,-13.005,-5.04E-05
-4.20E-05,-0.000043,-0.000043,-0.0000543,-0.0000533,-0.0000544,-0.0000543,-0.0000528,-0.0000434,-0.0000454,-4.86E-05,,2.92E+01,,-17.5483,,-6.81E-05,,,,,,,,,,18.056,-10.834,-4.20E-05
-3.36E-05,-0.0000344,-0.0000344,-0.0000433,-0.0000433,-0.0000435,-0.0000434,-0.0000413,-0.0000346,-0.0000358,-3.88E-05,,2.50E+01,,-15.0139,,-5.82E-05,,,,,,,,,,14.446,-8.6675,-3.36E-05
-2.52E-05,-0.0000258,-0.0000259,-0.0000295,-0.0000326,-0.0000326,-0.0000326,-0.0000279,-0.000026,-0.0000302,-2.88E-05,,2.09E+01,,-12.5256,,-4.86E-05,,,,,,,,,,10.837,-6.5024,-2.52E-05
-1.68E-05,-0.0000172,-0.0000172,-0.0000172,-0.0000217,-0.0000217,-0.0000217,-0.0000173,-0.0000173,-0.0000204,-1.89E-05,,1.67E+01,,-9.99807,,-3.88E-05,,,,,,,,,,7.2263,-4.3358,-1.68E-05
-8.41E-06,-0.00000858,-0.00000861,-0.00000861,-0.0000108,-0.0000109,-0.0000109,-0.00000862,-0.00000864,-0.0000105,-9.46E-06,,1.24E+01,,-7.42717,,-2.88E-05,,,,,,,,,,3.6095,-2.1657,-8.41E-06
