3.82E-11,9.07E-11,5.17E-11,9.72E-11,1.02E-10,7.61E-11,3.81E-11,6.85E-11,4.18E-11,7.53E-11,6.80E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.64E-05,9.84E-06,3.82E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.8348,-0.50088,-1.94E-06
5.17E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.22E-05,1.33E-05,5.17E-11
1.92E-11,,,,,,,,,,,,,,,,,,,,,,,,,,8.32E-06,4.95E-06,1.92E-11
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.8387,0.50322,1.95E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6752,1.0051,3.90E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5113,1.5068,5.84E-06
7.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3465,2.0079,7.79E-06
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1808,2.5085,9.72E-06
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0172,3.0103,1.17E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8536,3.5122,1.36E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6901,4.0141,1.56E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5253,4.5152,1.75E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3602,5.0161,1.95E-05
1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3601,5.0161,1.95E-05
1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.525,4.515,1.75E-05
1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6898,4.0139,1.56E-05
1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8531,3.5118,1.36E-05
1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0168,3.0101,1.17E-05
9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1804,2.5083,9.72E-06
7.79E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.346,2.0076,7.79E-06
5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.511,1.5066,5.84E-06
3.90E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.675,1.005,3.90E-06
1.95E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83861,0.50317,1.95E-06
9.53E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.35E-05,2.46E-05,9.53E-11
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83464,-0.50078,-1.94E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6711,-1.0026,-3.89E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5072,-1.5043,-5.84E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3424,-2.0055,-7.78E-06
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1771,-2.5063,-9.72E-06
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0135,-3.0081,-1.17E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.85,-3.51,-1.36E-05
-1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6868,-4.0121,-1.56E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.5218,-4.5131,-1.75E-05
-1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3571,-5.0143,-1.95E-05
-1.95E-05,,,,,,,,,,,,,,,,,,,,,,,,,,8.3572,-5.0143,-1.95E-05
-1.75E-05,,,,,,,,,,,,,,,,,,,,,,,,,,7.522,-4.5132,-1.75E-05
-1.56E-05,,,,,,,,,,,,,,,,,,,,,,,,,,6.6871,-4.0123,-1.56E-05
-1.36E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.8503,-3.5102,-1.36E-05
-1.17E-05,,,,,,,,,,,,,,,,,,,,,,,,,,5.0137,-3.0082,-1.17E-05
-9.72E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1772,-2.5063,-9.72E-06
-7.78E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.3423,-2.0054,-7.78E-06
-5.84E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.5072,-1.5043,-5.84E-06
-3.89E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.6711,-1.0027,-3.89E-06
-1.94E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.83463,-0.50078,-1.94E-06
9.72E-11,,,,,,,,,,,,,,,,,,,,,,,,,,4.17E-05,2.50E-05,9.72E-11
5.27E-11,,,,,,,,,,,,,,,,,,,,,,,,,,2.27E-05,1.36E-05,5.27E-11
