8.57E-08,8.92E-08,-7.02E-08,-4.13E-08,8.34E-08,4.95E-08,6.36E-08,9.00E-08,7.87E-08,6.84E-08,4.97E-08,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.70E-07,8.57E-08,3.32E-13
-1.13E-07,-0.000000136,-0.000000156,-0.000000133,-0.000000205,-0.000000118,-0.000000324,-0.000000256,-0.000000187,-0.00000012,-1.75E-07,,2.87E-07,1.97E-07,-8.669E-08,-2.98E-08,-8.67E-08,-2.98E-08,,,,,,,,,1.89E-07,-1.13E-07,-4.40E-13
-2.81E-08,-3.69E-08,-0.000000038,-4.23E-08,-0.000000325,8.38E-08,0.000000051,4.78E-08,-2.44E-08,1.44E-08,-2.98E-08,,2.97E-07,2.92E-07,-1.3605E-07,-1.75E-07,-1.36E-07,-1.75E-07,,,,,,,,,1.42E-07,-2.81E-08,-1.09E-13
5.38E-08,4.97E-08,0.000000109,4.46E-08,0.00000022,0.000000127,-2.91E-08,2.78E-08,5.82E-08,0.000000218,8.79E-08,,2.92E-07,,-1.748E-07,,-1.75E-07,,,,,,,,,,8.97E-08,5.38E-08,2.09E-13
4.01E-08,5.81E-08,5.64E-08,5.8E-09,-0.00000222,0.000000101,1.28E-08,-2.89E-08,5.36E-08,6.59E-08,-1.86E-07,,1.97E-07,,-2.977E-08,,-2.98E-08,,,,,,,,,,7.96E-08,4.01E-08,1.55E-13
3.44E-08,5.66E-08,-0.000000177,0.000000131,-0.000000999,-6.29E-08,0.000000129,6.56E-08,0.000000109,5.34E-08,-6.60E-08,,1.81E-07,,8.79E-08,,8.79E-08,,,,,,,,,,5.97E-08,3.44E-08,1.33E-13
7.22E-08,9.29E-08,0.000000101,0.000000091,0.000000394,-3.78E-08,5.66E-08,7.85E-08,6.26E-08,0.000000213,1.12E-07,,5.47E-07,,-1.8552E-07,,-1.86E-07,,,,,,,,,,1.31E-07,7.22E-08,2.79E-13
7.73E-08,6.38E-08,0.000000108,8.57E-08,1.28E-08,2.14E-08,3.43E-08,6.44E-08,0.000000174,2.62E-08,6.68E-08,,3.75E-07,,-6.599E-08,,-6.60E-08,,,,,,,,,,1.29E-07,7.73E-08,3.00E-13
8.12E-08,0.000000104,0.000000063,0.000000093,0.000000164,5.39E-08,0.000000106,6.56E-08,7.78E-08,6.38E-08,8.72E-08,,2.59E-07,,1.124E-07,,1.12E-07,,,,,,,,,,1.35E-07,8.12E-08,3.14E-13
6.35E-08,0.000000199,0.000000128,8.37E-08,2.48E-09,-1.04E-08,9.36E-08,7.36E-08,8.32E-08,5.75E-08,7.74E-08,,1.95E-07,,6.679E-08,,6.68E-08,,,,,,,,,,1.12E-07,6.35E-08,2.46E-13
7.45E-08,4.91E-08,0.000000104,0.000000082,0.000000121,4.29E-08,0.000000101,7.11E-08,7.18E-08,0.000000053,7.70E-08,,1.93E-07,,8.723E-08,,8.72E-08,,,,,,,,,,1.29E-07,7.45E-08,2.90E-13
