voltage_Calibrate	absJ_Calibrate	J_Calibrate	current_Calibrate	time_Calibrate
-1.500000E-1	2.081577E+1	-2.081577E+1	-8.073417E-5	4.246484E+1
-2.000000E-1	2.774089E+1	-2.774089E+1	-1.075933E-4	4.303613E+1
-2.500000E-1	3.467082E+1	-3.467082E+1	-1.344711E-4	4.322461E+1
-3.000000E-1	4.162867E+1	-4.162867E+1	-1.614572E-4	4.341211E+1
-3.500000E-1	4.866362E+1	-4.866362E+1	-1.887423E-4	4.360059E+1
-4.000000E-1	5.570452E+1	-5.570452E+1	-2.160505E-4	4.378809E+1
-4.500000E-1	6.273013E+1	-6.273013E+1	-2.432994E-4	4.397656E+1
-5.000000E-1	6.975858E+1	-6.975858E+1	-2.705593E-4	4.416504E+1
-5.000000E-1	6.975840E+1	-6.975840E+1	-2.705586E-4	4.435254E+1
-4.500000E-1	6.273054E+1	-6.273054E+1	-2.433010E-4	4.454102E+1
-4.000000E-1	5.570478E+1	-5.570478E+1	-2.160515E-4	4.472949E+1
-3.500000E-1	4.866362E+1	-4.866362E+1	-1.887423E-4	4.491699E+1
-3.000000E-1	4.162867E+1	-4.162867E+1	-1.614572E-4	4.510547E+1
-2.500000E-1	3.467015E+1	-3.467015E+1	-1.344685E-4	4.529297E+1
-2.000000E-1	2.773993E+1	-2.773993E+1	-1.075896E-4	4.548145E+1
-1.500000E-1	2.081509E+1	-2.081509E+1	-8.073151E-5	4.586133E+1
-1.000000E-1	1.387167E+1	-1.387167E+1	-5.380141E-5	4.604980E+1
-5.000000E-2	6.925797E+0	-6.925797E+0	-2.686177E-5	4.623730E+1
0.000000E+0	4.037373E-4	4.037373E-4	1.565899E-9	4.681250E+1
0.000000E+0	3.705055E-4	3.705055E-4	1.437009E-9	4.700098E+1
5.000000E-2	6.967105E+0	6.967105E+0	2.702198E-5	4.777051E+1
1.000000E-1	1.391202E+1	1.391202E+1	5.395790E-5	4.795898E+1
1.500000E-1	2.085469E+1	2.085469E+1	8.088512E-5	4.814648E+1
2.000000E-1	2.777418E+1	2.777418E+1	1.077224E-4	4.871777E+1
2.500000E-1	3.470315E+1	3.470315E+1	1.345965E-4	4.890625E+1
3.000000E-1	4.164726E+1	4.164726E+1	1.615293E-4	4.909375E+1
3.500000E-1	4.859351E+1	4.859351E+1	1.884704E-4	4.928223E+1
4.000000E-1	4.243953E+2	4.243953E+2	1.646021E-3	4.985352E+1
4.500000E-1	4.785973E+2	4.785973E+2	1.856244E-3	5.004102E+1
5.000000E-1	5.308996E+2	5.308996E+2	2.059099E-3	5.022949E+1
5.000000E-1	5.383790E+2	5.383790E+2	2.088108E-3	5.041797E+1
4.500000E-1	5.008635E+2	5.008635E+2	1.942604E-3	5.060547E+1
4.000000E-1	4.612068E+2	4.612068E+2	1.788795E-3	5.079395E+1
3.500000E-1	4.859274E+1	4.859274E+1	1.884674E-4	5.117383E+1
3.000000E-1	4.164638E+1	4.164638E+1	1.615259E-4	5.136133E+1
2.500000E-1	3.470197E+1	3.470197E+1	1.345919E-4	5.154980E+1
2.000000E-1	2.777332E+1	2.777332E+1	1.077191E-4	5.173828E+1
1.500000E-1	2.085322E+1	2.085322E+1	8.087942E-5	5.211719E+1
1.000000E-1	1.391093E+1	1.391093E+1	5.395368E-5	5.230566E+1
5.000000E-2	6.965934E+0	6.965934E+0	2.701744E-5	5.249414E+1
0.000000E+0	5.306397E-4	5.306397E-4	2.058091E-9	5.306934E+1
-5.000000E-2	6.926024E+0	-6.926024E+0	-2.686265E-5	5.383887E+1
-1.000000E-1	1.387134E+1	-1.387134E+1	-5.380012E-5	5.402734E+1
-1.500000E-1	2.081399E+1	-2.081399E+1	-8.072726E-5	5.421484E+1
-2.000000E-1	2.773756E+1	-2.773756E+1	-1.075804E-4	5.478613E+1
-2.500000E-1	3.466755E+1	-3.466755E+1	-1.344584E-4	5.497461E+1
-3.000000E-1	4.162558E+1	-4.162558E+1	-1.614452E-4	5.516211E+1
-3.500000E-1	4.865998E+1	-4.865998E+1	-1.887282E-4	5.535059E+1
-4.000000E-1	5.570096E+1	-5.570096E+1	-2.160367E-4	5.553906E+1
-4.500000E-1	6.272613E+1	-6.272613E+1	-2.432839E-4	5.572656E+1
-5.000000E-1	6.975427E+1	-6.975427E+1	-2.705426E-4	5.591504E+1
-5.000000E-1	6.975425E+1	-6.975425E+1	-2.705425E-4	5.610254E+1
-4.500000E-1	6.272629E+1	-6.272629E+1	-2.432845E-4	5.629102E+1
-4.000000E-1	5.570132E+1	-5.570132E+1	-2.160381E-4	5.647949E+1
-3.500000E-1	4.866091E+1	-4.866091E+1	-1.887318E-4	5.666699E+1
-3.000000E-1	4.162558E+1	-4.162558E+1	-1.614452E-4	5.685547E+1
-2.500000E-1	3.466659E+1	-3.466659E+1	-1.344547E-4	5.704395E+1
-2.000000E-1	2.773676E+1	-2.773676E+1	-1.075773E-4	5.723145E+1
-1.500000E-1	2.081264E+1	-2.081264E+1	-8.072201E-5	5.761133E+1
-1.000000E-1	1.387008E+1	-1.387008E+1	-5.379523E-5	5.779980E+1
-5.000000E-2	6.924779E+0	-6.924779E+0	-2.685782E-5	5.798730E+1
0.000000E+0	4.025817E-4	4.025817E-4	1.561417E-9	5.856250E+1
0.000000E+0	3.590410E-4	3.590410E-4	1.392544E-9	0.000000E+0
5.000000E-2	6.964098E+0	6.964098E+0	2.701032E-5	7.695313E-1
1.000000E-1	1.391499E+1	1.391499E+1	5.396942E-5	9.570313E-1
1.500000E-1	2.086451E+1	2.086451E+1	8.092321E-5	1.145508E+0
2.000000E-1	2.779142E+1	2.779142E+1	1.077893E-4	1.716797E+0
2.500000E-1	3.472744E+1	3.472744E+1	1.346907E-4	1.904297E+0
3.000000E-1	4.167722E+1	4.167722E+1	1.616455E-4	2.092773E+0
3.500000E-1	4.862830E+1	4.862830E+1	1.886053E-4	2.281250E+0
4.000000E-1	5.558184E+1	5.558184E+1	2.155747E-4	2.468750E+0
4.500000E-1	1.670928E+2	1.670928E+2	6.480710E-4	2.657227E+0
5.000000E-1	2.213842E+2	2.213842E+2	8.586409E-4	2.844727E+0
5.000000E-1	2.359043E+2	2.359043E+2	9.149570E-4	3.033203E+0
4.500000E-1	2.083511E+2	2.083511E+2	8.080918E-4	3.221680E+0
4.000000E-1	5.558192E+1	5.558192E+1	2.155750E-4	3.409180E+0
3.500000E-1	4.862739E+1	4.862739E+1	1.886018E-4	3.597656E+0
3.000000E-1	4.167640E+1	4.167640E+1	1.616423E-4	3.786133E+0
2.500000E-1	3.472690E+1	3.472690E+1	1.346886E-4	3.973633E+0
2.000000E-1	2.779086E+1	2.779086E+1	1.077871E-4	4.162109E+0
1.500000E-1	2.086376E+1	2.086376E+1	8.092029E-5	4.541992E+0
1.000000E-1	1.391457E+1	1.391457E+1	5.396779E-5	4.729492E+0
5.000000E-2	6.963330E+0	6.963330E+0	2.700734E-5	4.917969E+0
0.000000E+0	3.156089E-4	3.156089E-4	1.224092E-9	5.493164E+0
-5.000000E-2	6.939568E+0	-6.939568E+0	-2.691518E-5	6.262695E+0
-1.000000E-1	1.389141E+1	-1.389141E+1	-5.387797E-5	6.451172E+0
-1.500000E-1	2.084124E+1	-2.084124E+1	-8.083296E-5	6.639648E+0
-2.000000E-1	2.777301E+1	-2.777301E+1	-1.077179E-4	7.209961E+0
-2.500000E-1	3.471029E+1	-3.471029E+1	-1.346242E-4	7.398438E+0
-3.000000E-1	4.166129E+1	-4.166129E+1	-1.615837E-4	7.586914E+0
-3.500000E-1	4.865379E+1	-4.865379E+1	-1.887042E-4	7.774414E+0
-4.000000E-1	5.568987E+1	-5.568987E+1	-2.159937E-4	7.962891E+0
-4.500000E-1	6.271306E+1	-6.271306E+1	-2.432332E-4	8.150391E+0
-5.000000E-1	6.973890E+1	-6.973890E+1	-2.704830E-4	8.338867E+0
-5.000000E-1	6.973857E+1	-6.973857E+1	-2.704817E-4	8.527344E+0
-4.500000E-1	6.271324E+1	-6.271324E+1	-2.432339E-4	8.714844E+0
-4.000000E-1	5.569000E+1	-5.569000E+1	-2.159942E-4	8.903320E+0
-3.500000E-1	4.865444E+1	-4.865444E+1	-1.887067E-4	9.091797E+0
-3.000000E-1	4.166119E+1	-4.166119E+1	-1.615833E-4	9.279297E+0
-2.500000E-1	3.470988E+1	-3.470988E+1	-1.346226E-4	9.467773E+0
-2.000000E-1	2.777227E+1	-2.777227E+1	-1.077150E-4	9.655273E+0
-1.500000E-1	2.084097E+1	-2.084097E+1	-8.083192E-5	1.003516E+1
-1.000000E-1	1.389062E+1	-1.389062E+1	-5.387492E-5	1.022363E+1
-5.000000E-2	6.939006E+0	-6.939006E+0	-2.691300E-5	1.041211E+1
0.000000E+0	2.982081E-4	2.982081E-4	1.156603E-9	1.098730E+1
0.000000E+0	4.753225E-5	4.753225E-5	1.843543E-10	1.139941E+1
5.000000E-2	6.964920E+0	6.964920E+0	2.701351E-5	1.216895E+1
1.000000E-1	1.391621E+1	1.391621E+1	5.397417E-5	1.235742E+1
1.500000E-1	2.086609E+1	2.086609E+1	8.092931E-5	1.254492E+1
2.000000E-1	2.779344E+1	2.779344E+1	1.077971E-4	1.311621E+1
2.500000E-1	3.472994E+1	3.472994E+1	1.347004E-4	1.330469E+1
3.000000E-1	4.167962E+1	4.167962E+1	1.616548E-4	1.349219E+1
3.500000E-1	4.863054E+1	4.863054E+1	1.886140E-4	1.368066E+1
4.000000E-1	5.558530E+1	5.558530E+1	2.155881E-4	1.386816E+1
4.500000E-1	2.380546E+2	2.380546E+2	9.232969E-4	1.405664E+1
5.000000E-1	3.145152E+2	3.145152E+2	1.219850E-3	1.462793E+1
5.000000E-1	3.227441E+2	3.227441E+2	1.251766E-3	1.481543E+1
4.500000E-1	2.875509E+2	2.875509E+2	1.115269E-3	1.500391E+1
4.000000E-1	5.558522E+1	5.558522E+1	2.155878E-4	1.538379E+1
3.500000E-1	4.863074E+1	4.863074E+1	1.886148E-4	1.557227E+1
3.000000E-1	4.167910E+1	4.167910E+1	1.616528E-4	1.575977E+1
2.500000E-1	3.472935E+1	3.472935E+1	1.346981E-4	1.594824E+1
2.000000E-1	2.779282E+1	2.779282E+1	1.077947E-4	1.613574E+1
1.500000E-1	2.086554E+1	2.086554E+1	8.092720E-5	1.651563E+1
1.000000E-1	1.391620E+1	1.391620E+1	5.397411E-5	1.670410E+1
5.000000E-2	6.964286E+0	6.964286E+0	2.701105E-5	1.689258E+1
0.000000E+0	3.965418E-4	3.965418E-4	1.537991E-9	1.746777E+1
-5.000000E-2	6.938490E+0	-6.938490E+0	-2.691100E-5	1.823730E+1
-1.000000E-1	1.389038E+1	-1.389038E+1	-5.387398E-5	1.842578E+1
-1.500000E-1	2.084006E+1	-2.084006E+1	-8.082835E-5	1.861328E+1
-2.000000E-1	2.777129E+1	-2.777129E+1	-1.077112E-4	1.918457E+1
-2.500000E-1	3.470826E+1	-3.470826E+1	-1.346163E-4	1.937305E+1
-3.000000E-1	4.165948E+1	-4.165948E+1	-1.615767E-4	1.956055E+1
-3.500000E-1	4.865415E+1	-4.865415E+1	-1.887056E-4	1.974902E+1
-4.000000E-1	5.568969E+1	-5.568969E+1	-2.159930E-4	1.993750E+1
-4.500000E-1	6.271306E+1	-6.271306E+1	-2.432332E-4	2.012500E+1
-5.000000E-1	6.973921E+1	-6.973921E+1	-2.704842E-4	2.031348E+1
-5.000000E-1	6.973937E+1	-6.973937E+1	-2.704848E-4	2.050098E+1
-4.500000E-1	6.271355E+1	-6.271355E+1	-2.432351E-4	2.068945E+1
-4.000000E-1	5.569041E+1	-5.569041E+1	-2.159958E-4	2.087793E+1
-3.500000E-1	4.865465E+1	-4.865465E+1	-1.887075E-4	2.106543E+1
-3.000000E-1	4.165868E+1	-4.165868E+1	-1.615736E-4	2.125391E+1
-2.500000E-1	3.470792E+1	-3.470792E+1	-1.346150E-4	2.144238E+1
-2.000000E-1	2.777100E+1	-2.777100E+1	-1.077101E-4	2.162988E+1
-1.500000E-1	2.083944E+1	-2.083944E+1	-8.082595E-5	2.200977E+1
-1.000000E-1	1.389023E+1	-1.389023E+1	-5.387340E-5	2.219824E+1
-5.000000E-2	6.938186E+0	-6.938186E+0	-2.690982E-5	2.238574E+1
0.000000E+0	3.506850E-4	3.506850E-4	1.360135E-9	2.296094E+1
0.000000E+0	4.547953E-5	4.547953E-5	1.763928E-10	2.337305E+1
5.000000E-2	6.963353E+0	6.963353E+0	2.700743E-5	2.414355E+1
1.000000E-1	1.391347E+1	1.391347E+1	5.396351E-5	2.433105E+1
1.500000E-1	2.086158E+1	2.086158E+1	8.091182E-5	2.451953E+1
2.000000E-1	2.778727E+1	2.778727E+1	1.077732E-4	2.509082E+1
2.500000E-1	3.472187E+1	3.472187E+1	1.346691E-4	2.527832E+1
3.000000E-1	4.167070E+1	4.167070E+1	1.616202E-4	2.546680E+1
3.500000E-1	4.862087E+1	4.862087E+1	1.885765E-4	2.565527E+1
4.000000E-1	5.557351E+1	5.557351E+1	2.155424E-4	2.584277E+1
4.500000E-1	3.028256E+2	3.028256E+2	1.174512E-3	2.641406E+1
5.000000E-1	3.547822E+2	3.547822E+2	1.376026E-3	2.660254E+1
5.000000E-1	3.630952E+2	3.630952E+2	1.408268E-3	2.679004E+1
4.500000E-1	3.271994E+2	3.271994E+2	1.269046E-3	2.697852E+1
4.000000E-1	5.557382E+1	5.557382E+1	2.155436E-4	2.735840E+1
3.500000E-1	4.862035E+1	4.862035E+1	1.885745E-4	2.754590E+1
3.000000E-1	4.167072E+1	4.167072E+1	1.616203E-4	2.773438E+1
2.500000E-1	3.472197E+1	3.472197E+1	1.346695E-4	2.792285E+1
2.000000E-1	2.778701E+1	2.778701E+1	1.077722E-4	2.811035E+1
1.500000E-1	2.086147E+1	2.086147E+1	8.091139E-5	2.849023E+1
1.000000E-1	1.391308E+1	1.391308E+1	5.396202E-5	2.867871E+1
5.000000E-2	6.963523E+0	6.963523E+0	2.700809E-5	2.886621E+1
0.000000E+0	4.064402E-4	4.064402E-4	1.576382E-9	2.944141E+1
-5.000000E-2	6.937317E+0	-6.937317E+0	-2.690645E-5	3.021191E+1
-1.000000E-1	1.388692E+1	-1.388692E+1	-5.386055E-5	3.039941E+1
-1.500000E-1	2.083538E+1	-2.083538E+1	-8.081023E-5	3.058789E+1
-2.000000E-1	2.776572E+1	-2.776572E+1	-1.076896E-4	3.115918E+1
-2.500000E-1	3.470143E+1	-3.470143E+1	-1.345898E-4	3.134668E+1
-3.000000E-1	4.165077E+1	-4.165077E+1	-1.615429E-4	3.153516E+1
-3.500000E-1	4.865297E+1	-4.865297E+1	-1.887010E-4	3.172363E+1
-4.000000E-1	5.568897E+1	-5.568897E+1	-2.159902E-4	3.191113E+1
-4.500000E-1	6.271205E+1	-6.271205E+1	-2.432293E-4	3.209961E+1
-5.000000E-1	6.973821E+1	-6.973821E+1	-2.704803E-4	3.228809E+1
-5.000000E-1	6.973829E+1	-6.973829E+1	-2.704806E-4	3.247559E+1
-4.500000E-1	6.271231E+1	-6.271231E+1	-2.432303E-4	3.266406E+1
