1.70E-11,1.49E-11,3.35E-11,3.59E-11,1.39E-11,1.98E-11,2.73E-11,1.96E-11,1.31E-11,2.03E-11,2.15E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,0.00E+00,0.00E+00,1.70E-11
2.12E-11,2.25E-11,3.13E-11,2.36E-11,2.44E-11,5.24E-11,3.42E-11,2.75E-11,2.33E-11,2.67E-11,2.87E-11,,3.88E+00,5.18E+00,-3.88,-5.18E+00,2.61E-11,5.47E-11,,,,,,,,,5.17E+00,-5.17E+00,2.12E-11
4.50E-11,2.34E-11,2.31E-11,1.98E-11,2.02E-11,4.26E-11,3.35E-11,2.46E-11,2E-11,4.49E-11,2.97E-11,,4.53E+00,5.82E+00,-4.53,-5.82E+00,3.10E-11,1.81E-11,,,,,,,,,5.81E+00,-5.81E+00,4.50E-11
1.89E-11,2.27E-11,2.6E-11,2.21E-11,3.42E-11,1.97E-11,5.4E-11,4.27E-11,3.11E-11,2.01E-11,2.92E-11,,5.18E+00,6.46E+00,-5.176,-6.46E+00,2.87E-11,1.97E-11,,,,,,,,,6.46E+00,-6.46E+00,1.89E-11
1.42E-11,8.25E-12,1.25E-11,7.46E-12,5.41E-11,2.05E-11,2.81E-11,2.34E-11,1.18E-11,1.62E-11,1.97E-11,,5.82E+00,6.46E+00,-5.817,-6.46E+00,2.97E-11,2.92E-11,,,,,,,,,6.46E+00,-6.46E+00,1.42E-11
8.97E-12,8.29E-12,1.81E-11,7.44E-12,3.66E-11,2.11E-11,1.32E-11,1.9E-11,1.01E-11,3.79E-11,1.81E-11,,6.46E+00,,-6.46,,2.92E-11,,,,,,,,,,5.81E+00,-5.81E+00,8.97E-12
7.96E-12,9.68E-12,9.72E-12,1.7E-11,3.97E-10,1.69E-11,2.67E-11,2.48E-11,1.17E-11,2.55E-11,5.47E-11,,6.46E+00,,-6.462,,1.97E-11,,,,,,,,,,5.17E+00,-5.17E+00,7.96E-12
5.97E-12,9.44E-12,4.64E-11,2.19E-11,1.84E-10,3.23E-11,2.83E-11,1.27E-11,1.82E-11,1.58E-11,3.75E-11,,5.82E+00,,-5.818,,1.81E-11,,,,,,,,,,4.53E+00,-4.53E+00,5.97E-12
1.31E-11,1.55E-11,2.05E-11,1.52E-11,9.42E-11,2.34E-11,1.6E-11,1.31E-11,1.09E-11,3.69E-11,2.59E-11,,5.18E+00,,-5.178,,5.47E-11,,,,,,,,,,3.88E+00,-3.88E+00,1.31E-11
1.29E-11,1.06E-11,2.86E-11,1.43E-11,2.95E-11,1.63E-11,2.1E-11,1.41E-11,2.9E-11,1.82E-11,1.95E-11,,4.53E+00,,-4.53,,3.75E-11,,,,,,,,,,3.24E+00,-3.24E+00,1.29E-11
1.35E-11,1.92E-11,1.05E-11,1.55E-11,3.82E-11,2.55E-11,2.57E-11,1.22E-11,1.96E-11,1.34E-11,1.93E-11,,3.89E+00,,-3.885,,2.59E-11,,,,,,,,,,2.59E+00,-2.59E+00,1.35E-11
