9.95E-11,9.76E-11,7.23E-11,6.93E-11,1.00E-10,8.91E-11,6.49E-11,1.22E-10,9.57E-11,9.05E-11,9.01E-11,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,4.27E-05,2.56E-05,9.95E-11
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3782,0.8269,3.21E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91911,0.55146,2.14E-06
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46004,0.27603,1.07E-06
1.02E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.46E-05,2.64E-05,1.02E-10
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.45767,-0.2746,-1.06E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91616,-0.54969,-2.13E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3743,-0.82456,-3.20E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8318,-1.0991,-4.26E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.289,-1.3734,-5.33E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.7468,-1.6481,-6.39E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2046,-1.9228,-7.46E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.663,-2.1978,-8.52E-06
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1204,-2.4722,-9.60E-06
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5775,-2.7465,-1.06E-05
-1.06E-05,,,,,,,,,,,,,,,,,,,,,,,,,,4.5774,-2.7465,-1.06E-05
-9.60E-06,,,,,,,,,,,,,,,,,,,,,,,,,,4.1202,-2.4721,-9.60E-06
-8.52E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.6633,-2.198,-8.52E-06
-7.46E-06,,,,,,,,,,,,,,,,,,,,,,,,,,3.2051,-1.923,-7.46E-06
-6.39E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.747,-1.6482,-6.39E-06
-5.33E-06,,,,,,,,,,,,,,,,,,,,,,,,,,2.289,-1.3734,-5.33E-06
-4.26E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.8319,-1.0992,-4.26E-06
-3.20E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3746,-0.82474,-3.20E-06
-2.13E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91621,-0.54973,-2.13E-06
-1.06E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.4577,-0.27462,-1.06E-06
1.00E-10,,,,,,,,,,,,,,,,,,,,,,,,,,4.30E-05,2.58E-05,1.00E-10
8.24E-11,,,,,,,,,,,,,,,,,,,,,,,,,,3.54E-05,2.12E-05,8.24E-11
1.07E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.46007,0.27604,1.07E-06
2.14E-06,,,,,,,,,,,,,,,,,,,,,,,,,,0.91914,0.55149,2.14E-06
3.21E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.3782,0.82692,3.21E-06
4.28E-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.837,1.1022,4.28E-06
