4.55E-13,1.70E-13,2.44E-13,3.00E-13,4.72E-13,3.12E-13,3.91E-13,-2.77E-11,1.47E-12,1.12E-12,-2.28E-12,AVERAGE RESULTS->>>,AbsJ,,J,,I,,,COLLAPSE RESULTS->>>,Final AbsJ,,Final J,,Final I,,1.95E-07,1.17E-07,4.55E-13
-1.66E-12,-1.3E-12,-1.13E-12,-1.17E-12,-1.15E-12,-1.15E-12,-7.17E-13,-1.1E-12,-9.55E-13,-3.58E-13,-1.07E-12,,4.83E-07,2.35E-07,-2.852E-07,-1.21E-07,-1.11E-12,-4.68E-13,,,,,,,,,7.12E-07,-4.27E-07,-1.66E-12
-1.62E-12,-1.38E-12,-1.3E-12,-1.25E-12,-1.18E-12,-1.16E-12,-1.02E-12,-1.16E-12,-1.2E-12,-3.01E-12,-1.43E-12,,4.95E-07,5.58E-07,-2.971E-07,-3.26E-07,-1.15E-12,-1.26E-12,,,,,,,,,6.97E-07,-4.18E-07,-1.62E-12
-1.63E-12,-1.48E-12,-1.34E-12,-1.23E-12,-1.24E-12,-1.19E-12,-1.27E-12,-1.18E-12,-1.15E-12,-1.1E-12,-1.28E-12,,5.19E-07,2.33E-07,-2.7524E-07,-1.34E-07,-1.07E-12,-5.21E-13,,,,,,,,,6.99E-07,-4.19E-07,-1.63E-12
-1.70E-12,-1.43E-12,-1.34E-12,-1.29E-12,-1.26E-12,-1.2E-12,-1.34E-12,-1.41E-12,-1.21E-12,-1.09E-12,-1.33E-12,,6.13E-07,4.07E-07,-3.681E-07,-2.40E-07,-1.43E-12,-9.31E-13,,,,,,,,,7.31E-07,-4.38E-07,-1.70E-12
-1.25E-12,-1.05E-12,-9.52E-13,-7.53E-13,-8.4E-13,-8.12E-13,-7.76E-13,-1.01E-12,-1.33E-12,-5.33E-13,-9.31E-13,,5.51E-07,5.70E-07,-3.303E-07,-3.42E-07,-1.28E-12,-1.33E-12,,,,,,,,,5.35E-07,-3.21E-07,-1.25E-12
-6.91E-13,-4.7E-13,-2.91E-13,-3.17E-13,-2.65E-13,-2.74E-13,-2.72E-13,-3.67E-13,-2.2E-12,-5.98E-14,-5.21E-13,,5.70E-07,,-3.421E-07,,-1.33E-12,,,,,,,,,,2.97E-07,-1.78E-07,-6.91E-13
-5.12E-13,-3.31E-13,-2.99E-13,-2.7E-13,-1.36E-13,-1.13E-13,-1.55E-13,-3.1E-13,-1.06E-11,8.94E-14,-1.26E-12,,4.07E-07,,-2.398E-07,,-9.31E-13,,,,,,,,,,2.20E-07,-1.32E-07,-5.12E-13
-3.88E-13,-2.37E-13,-1.47E-13,-6.6E-14,-3.24E-14,-5.12E-14,-7.53E-14,-2.17E-12,-1.11E-12,-4E-13,-4.68E-13,,2.33E-07,,-1.3406E-07,,-5.21E-13,,,,,,,,,,1.71E-07,-9.99E-08,-3.88E-13
-3.76E-13,-1.32E-13,-7.66E-14,7.1E-14,6.52E-15,8.9E-15,3.48E-14,1.83E-13,6.44E-11,-6.58E-14,6.41E-12,,5.58E-07,,-3.2551E-07,,-1.26E-12,,,,,,,,,,1.62E-07,-9.69E-08,-3.76E-13
-7.51E-14,-1.08E-13,6.1E-14,6.52E-14,7.78E-14,6.26E-14,7.09E-14,-1.58E-12,6.53E-11,1.29E-12,6.52E-12,,2.35E-07,,-1.20794E-07,,-4.68E-13,,,,,,,,,,1.91E-07,-1.95E-08,-7.51E-14
