Voltage,Abs_J (Current Density),J (Current Density),Current,Time
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,5.96E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,5.98E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,6.00E+01
0.00E+00,3.58E-05,3.58E-05,1.39E-10,6.06E+01
0.00E+00,3.06E-05,3.06E-05,1.19E-10,6.08E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,6.16E+01
1.00E-01,1.30E+00,1.30E+00,5.04E-06,6.18E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,6.20E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,6.22E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,6.27E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,6.29E+01
3.50E-01,4.54E+00,4.54E+00,1.76E-05,6.31E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,6.33E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,6.35E+01
5.00E-01,6.47E+00,6.47E+00,2.51E-05,6.37E+01
5.00E-01,6.47E+00,6.47E+00,2.51E-05,6.39E+01
4.50E-01,5.83E+00,5.83E+00,2.26E-05,6.40E+01
4.00E-01,5.18E+00,5.18E+00,2.01E-05,6.42E+01
3.50E-01,4.53E+00,4.53E+00,1.76E-05,6.44E+01
3.00E-01,3.89E+00,3.89E+00,1.51E-05,6.46E+01
2.50E-01,3.24E+00,3.24E+00,1.26E-05,6.48E+01
2.00E-01,2.59E+00,2.59E+00,1.01E-05,6.50E+01
1.50E-01,1.95E+00,1.95E+00,7.55E-06,6.54E+01
1.00E-01,1.30E+00,1.30E+00,5.03E-06,6.56E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,6.57E+01
0.00E+00,1.02E-05,1.02E-05,3.96E-11,6.71E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,6.78E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,6.80E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,6.82E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,6.84E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,6.90E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,6.92E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,6.93E+01
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,6.95E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,6.97E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,6.99E+01
-5.00E-01,6.45E+00,-6.45E+00,-2.50E-05,7.01E+01
-4.50E-01,5.81E+00,-5.81E+00,-2.25E-05,7.03E+01
-4.00E-01,5.16E+00,-5.16E+00,-2.00E-05,7.05E+01
-3.50E-01,4.52E+00,-4.52E+00,-1.75E-05,7.07E+01
-3.00E-01,3.88E+00,-3.88E+00,-1.50E-05,7.08E+01
-2.50E-01,3.23E+00,-3.23E+00,-1.25E-05,7.10E+01
-2.00E-01,2.59E+00,-2.59E+00,-1.00E-05,7.12E+01
-1.50E-01,1.94E+00,-1.94E+00,-7.53E-06,7.16E+01
-1.00E-01,1.29E+00,-1.29E+00,-5.02E-06,7.18E+01
-5.00E-02,6.47E-01,-6.47E-01,-2.51E-06,7.20E+01
0.00E+00,7.98E-06,7.98E-06,3.10E-11,7.33E+01
0.00E+00,5.74E-06,5.74E-06,2.23E-11,7.38E+01
5.00E-02,6.50E-01,6.50E-01,2.52E-06,7.46E+01
